Id: 2 , Buy/Sell: sell , Price: 71.0 , Quantity: 13.0 , Time: 2021-04-07T10:33:01.227Z
Id: 1 , Buy/Sell: buy , Price: 71.0 , Quantity: 13.0 , Time: 2021-04-07T10:33:01.523Z
Id: 6 , Buy/Sell: buy , Price: 61.0 , Quantity: 15.0 , Time: 2021-04-07T10:33:14.556Z
Id: 2 , Buy/Sell: sell , Price: 61.0 , Quantity: 15.0 , Time: 2021-04-07T10:33:14.556Z
Id: 12 , Buy/Sell: buy , Price: 100.0 , Quantity: 0.0 , Time: 2021-04-07T10:33:32.577Z
Id: 6 , Buy/Sell: sell , Price: 100.0 , Quantity: 0.0 , Time: 2021-04-07T10:33:32.579Z
Id: 15 , Buy/Sell: buy , Price: 109.0 , Quantity: 0.0 , Time: 2021-04-07T10:33:40.596Z
Id: 13 , Buy/Sell: sell , Price: 109.0 , Quantity: 0.0 , Time: 2021-04-07T10:33:40.597Z
Id: 19 , Buy/Sell: buy , Price: 113.0 , Quantity: 22.0 , Time: 2021-04-07T10:33:52.632Z
Id: 18 , Buy/Sell: sell , Price: 113.0 , Quantity: 22.0 , Time: 2021-04-07T10:33:52.634Z
Id: 19 , Buy/Sell: buy , Price: 114.0 , Quantity: 0.0 , Time: 2021-04-07T10:33:52.634Z
Id: 5 , Buy/Sell: sell , Price: 114.0 , Quantity: 0.0 , Time: 2021-04-07T10:33:52.634Z
Id: 20 , Buy/Sell: sell , Price: 109.0 , Quantity: 37.0 , Time: 2021-04-07T10:33:56.649Z
Id: 13 , Buy/Sell: buy , Price: 109.0 , Quantity: 37.0 , Time: 2021-04-07T10:33:56.651Z
Id: 20 , Buy/Sell: buy , Price: 100.0 , Quantity: 0.0 , Time: 2021-04-07T10:33:56.652Z
Id: 6 , Buy/Sell: sell , Price: 100.0 , Quantity: 0.0 , Time: 2021-04-07T10:33:56.654Z
Id: 21 , Buy/Sell: sell , Price: 100.0 , Quantity: 94.0 , Time: 2021-04-07T10:33:57.669Z
Id: 6 , Buy/Sell: buy , Price: 100.0 , Quantity: 94.0 , Time: 2021-04-07T10:33:57.670Z
Id: 21 , Buy/Sell: sell , Price: 88.0 , Quantity: 34.0 , Time: 2021-04-07T10:33:57.672Z
Id: 8 , Buy/Sell: buy , Price: 88.0 , Quantity: 34.0 , Time: 2021-04-07T10:33:57.673Z
Id: 21 , Buy/Sell: buy , Price: 86.0 , Quantity: 0.0 , Time: 2021-04-07T10:33:57.673Z
Id: 17 , Buy/Sell: sell , Price: 86.0 , Quantity: 0.0 , Time: 2021-04-07T10:33:57.673Z
Id: 24 , Buy/Sell: buy , Price: 114.0 , Quantity: 59.0 , Time: 2021-04-07T10:34:04.689Z
Id: 5 , Buy/Sell: sell , Price: 114.0 , Quantity: 59.0 , Time: 2021-04-07T10:34:04.690Z
Id: 24 , Buy/Sell: buy , Price: 121.0 , Quantity: 0.0 , Time: 2021-04-07T10:34:04.690Z
Id: 9 , Buy/Sell: sell , Price: 121.0 , Quantity: 0.0 , Time: 2021-04-07T10:34:04.692Z
Id: 26 , Buy/Sell: sell , Price: 96.0 , Quantity: 51.0 , Time: 2021-04-07T10:34:12.705Z
Id: 22 , Buy/Sell: buy , Price: 96.0 , Quantity: 51.0 , Time: 2021-04-07T10:34:12.711Z
